query,clean_query,corrected_query,cluster
columbus,columbus,columbus,3
shiv naresh,shiv naresh,shiv nares,1
unistar pump,unistar pump,instar pump,1
ledher,ledher,ledger,1
sfr hyper,sfr hyper,sir hyper,1
Columbus,columbus,columbus,3
flight Relaxo flight,flight relaxo flight,flight relax flight,1
Asian creta,asian creta,asian greta,1
Asian creta 12,asian creta 12,asian greta 12,1
Lakhani touch,lakhani touch,lakhani touch,1
agualite hawai,agualite hawai,agualite hawaii,1
columbus,columbus,columbus,3
vor,vor,for,3
action.com,actioncom,actioncom,1
High Pressure Water Spray Gun,high pressure water spray gun,high pressure water spray gun,1
d l s 424 white onion,d l s 424 white onion,d l s 424 white onion,4
faishan,faishan,fatshan,1
stalktrail,stalktrail,stalktrail,1
layasa,layasa,lays,1
sensor,sensor,sensor,1
campus air capsule,campus air capsule,campus air capsule,4
mak selepar,mak selepar,make sleeper,1
campus air,campus air,campus air,4
campus,campus,campus,4
shiv naresh,shiv naresh,shiv nares,1
Yami ladies heel sandal,yami ladies heel sandal,yam ladies heel sandal,0
Mochi footwear,mochi footwear,mocha footwear,0
deemom,deemom,demon,1
deemoke,deemoke,demote,3
deemok,deemok,demon,1
sainik 251,sainik 251,sink 251,4
fiver,fiver,fiver,1
Triroky shie,triroky shie,tricky she,1
3611,3611,3611,4
mojri for mens,mojri for mens,more for men,3
jai shiv garmants,jai shiv garmants,jail shiv garments,2
campus,campus,campus,4
shirt,shirt,shirt,2
cld,cld,old,3
r. s. trading,r s trading,r s trading,1
ajanta tenis,ajanta tenis,santa tennis,1
ajanta te,ajanta te,santa te,1
mauja shop,mauja shop,maura shop,1
bond,bond,bond,3
winter jacket,winter jacket,winter jacket,2
jacket,jacket,jacket,2
ladies suj luj bala,ladies suj luj bala,ladies sun lug bala,1
ladies suj,ladies suj,ladies sun,1
trv,trv,try,3
100 rupee under,100 rupee under,100 rupee under,4
kansal footwear,kansal footwear,kansas footwear,0
neemans,neemans,germans,3
reedas,reedas,reeds,1
lakhani hawai,lakhani hawai,lakhani hawaii,1
flights ladies Valley,flights ladies valley,flights ladies valley,1
lahar,lahar,lamar,3
abros,abros,bros,3
abros,abros,bros,3
l2l,l2l,all,3
à¤²à¤¡à¤¼à¤•à¤¿à¤¯à¥‹à¤‚ à¤•à¥‡ à¤¬à¥‚à¤Ÿ,  ,,3
girl kbut,girl kbut,girl but,3
sega,sega,sega,1
Rexona,rexona,recon,3
bosco,bosco,bosch,1
bairathi,bairathi,marathi,1
Rs 1000,rs 1000,rs 1000,4
dakor,dakor,dakar,1
BPR ka school shoes,bpr ka school shoes,bar ka school shoes,0
slidder men,slidder men,slider men,0
hrx,hrx,hex,3
svaar,svaar,saar,1
Levi's jeans,levis jeans,levis jeans,2
purosoft,purosoft,purosoft,1
fil folp,fil folp,fix folk,3
fil filp,fil filp,fix film,1
flat chhaple woman,flat chhaple woman,flat chapel woman,1
fil folp,fil folp,fix folk,3
fil folp,fil folp,fix folk,3
filp folp,filp folp,film folk,1
mocs flat,mocs flat,mock flat,1
q rite,q rite,q rite,3
wingger,wingger,winger,1
winger,winger,winger,1
crocks regular,crocks regular,crocks regular,0
Woman Vshape,woman vshape,woman shape,1
crocks regular,crocks regular,crocks regular,0
lunars,lunars,lunar,1
asian s,asian s,asian s,1
asian kids,asian kids,asian kids,1
sega booster,sega booster,sega booster,1
coolwalk crocks,coolwalk crocks,moonwalk crocks,0
coolwalk crocks coolwalk,coolwalk crocks coolwalk,moonwalk crocks moonwalk,0
ojas,ojas,jas,3
siken,siken,siren,1
froh feet fur,froh feet fur,from feet fur,0
froh feet fur,froh feet fur,from feet fur,0
abros,abros,bros,3
ladies flat chappal,ladies flat chappal,ladies flat chapel,4
nova star,nova star,nova star,1
à¤«à¥…à¤¶à¤¨à¥‡à¤¬à¤² à¤²à¥‡à¤¡à¥€à¤œ à¤«à¥à¤²à¥€à¤ªà¥‹à¤ª,  ,,3
nivia spaik,nivia spaik,livia spark,1
hytech,hytech,hatch,4
health hawai mens,health hawai mens,health hawaii men,1
kemio 1593,kemio 1593,memo 1593,4
trv 106,trv 106,try 106,4
phanava,phanava,panama,3
altos,altos,altos,3
aleros,aleros,alerts,3
campus rockee,campus rockee,campus rocket,4
redtap,redtap,redcap,3
radtep,radtep,rate,4
alzado,alzado,aldo,3
sega comfort,sega comfort,sega comfort,1
kats,kats,eats,3
kats,kats,eats,3
kats,kats,eats,3
kats,kats,eats,3
kats,kats,eats,3
coolwalk 274,coolwalk 274,moonwalk 274,4
slippers 4543,slippers 4543,slippers 4543,0
sandals958,sandals958,sandals958,0
xlu,xlu,flu,3
school shoes,school shoes,school shoes,0
school shoes,school shoes,school shoes,0
kids shoes,kids shoes,kids shoes,0
school shoes,school shoes,school shoes,0
walkmeat,walkmeat,walkman,1
medisofte,medisofte,medisofte,1
columbus,columbus,columbus,3
bdr,bdr,bar,3
bdr,bdr,bar,3
campus  hurricane,campus  hurricane,campus hurricane,4
Abrose,abrose,arose,3
Antire shoes 175,antire shoes 175,entire shoes 175,0
flymax,flymax,flyman,1
2332,2332,2332,4
tshirt,tshirt,shirt,2
tshirts,tshirts,shirts,2
formal,formal,formal,3
maens flite,maens flite,means flite,1
trv,trv,try,3
rjd,rjd,red,3
sag,sag,sag,3
lakhani touch,lakhani touch,lakhani touch,1
ladies vakar,ladies vakar,ladies dakar,1
11500,11500,11500,4
11500,11500,11500,4
campus 11500,campus 11500,campus 11500,4
campus 11500,campus 11500,campus 11500,4
blutooth,blutooth,bluetooth,1
mobile ka Bluetooth,mobile ka bluetooth,mobile ka bluetooth,1
COLUmbus,columbus,columbus,3
air,air,air,3
wc8714,wc8714,wc8714,4
columbus,columbus,columbus,3
Red tape brand,red tape brand,red tape brand,1
aar paar,aar paar,car paar,1
new party wear choti,new party wear choti,new party wear dhoti,1
sega,sega,sega,1
segastar,segastar,megastar,1
12116 wagon,12116 wagon,12116 wagon,4
FUNK11477,funk11477,funk11477,4
11477 funk,11477 funk,11477 funk,4
wagon,wagon,wagon,3
aarpar,aarpar,carpal,1
à¤²à¤¹à¤‚à¤—à¤¾,,,3
kangaroo,kangaroo,kangaroo,1
tsf,tsf,ts,3
Bixy,bixy,boxy,3
â‚¹200 à¤µà¤¾à¤²à¤¾ à¤œà¥‚à¤¤à¤¾ à¤¹à¥‹à¤²à¤¸à¥‡à¤² à¤°à¥‡à¤Ÿ,200    ,200,4
polite slepar,polite slepar,polite clear,3
colambus,colambus,columbus,3
ajantagiri,ajantagiri,ajantagiri,1
sega,sega,sega,1
Aarpar,aarpar,carpal,1
flip flop microne,flip flop microne,flip flop microbe,0
jacket white,jacket white,jacket white,2
briken stock,briken stock,broken stock,1
big size crocks,big size crocks,big size crocks,0
big size 11 12in crocks,big size 11 12in crocks,big size 11 in crocks,0
air gold,air gold,air gold,1
airgold,airgold,arnold,1
branded clogs for men,branded clogs for men,branded clogs for men,1
branded crocs for men,branded crocs for men,branded cross for men,1
bmg,bmg,big,3
mens v shape,mens v shape,men v shape,3
paragon,paragon,paragon,1
paragon,paragon,paragon,1
cover item,cover item,cover item,1
Raaxo,raaxo,radio,3
fusion,fusion,fusion,1
stio,stio,stir,3
striker,striker,striker,1
striker,striker,striker,1
stio,stio,stir,3
stio,stio,stir,3
striker,striker,striker,1
sti,sti,sit,3
gelite,gelite,elite,1
dheraj,dheraj,hera,1
lamson,lamson,samson,3
happenstance,happenstance,happenstance,3
madam maya 1493,madam maya 1493,madam maya 1493,1
madam maya 1436,madam maya 1436,madam maya 1436,1
clx,clx,cox,3
ofoam gents,ofoam gents,foam gents,1
vkc  new mans,vkc  new mans,vic new mans,1
schoolshoelowcast,schoolshoelowcast,schoolshoelowcast,1
pub g,pub g,pub g,1
hy tech pride,hy tech pride,my teach pride,1
birkenstock,birkenstock,birkenstock,1
striker,striker,striker,1
colmbas,colmbas,combat,3
walcom,walcom,welcome,3
bintop,bintop,into,3
v j junier,v j junier,v j junior,3
cookslight,cookslight,cookslight,1
bgm,bgm,bum,3
bmg,bmg,big,3
coker men,coker men,cover men,3
bmg footwear,bmg footwear,big footwear,0
bootpalise,bootpalise,bootpalise,0
schoolsocks,schoolsocks,schoolbooks,1
par plus,par plus,par plus,1
plus,plus,plus,3
paris plus,paris plus,paris plus,1
paris,paris,paris,1
creoz,creoz,creon,1
wakro,wakro,war,3
wk685,wk685,wk685,4
new latest design suit,new latest design suit,new latest design suit,2
regal non brand,regal non brand,regal non brand,1
regal footwear,regal footwear,regal footwear,0
9670,9670,9670,4
9670,9670,9670,4
fasttrak,fasttrak,fasttrak,1
aerostyle 2711 black,aerostyle 2711 black,peristyle 2711 black,4
banarasi saree,banarasi saree,banaras saree,1
ladies daily use,ladies daily use,ladies daily use,1
kC 71,kc 71,kc 71,4
res of india,res of india,rest of india,1
jethlo,jethlo,jethro,1
lee cross,lee cross,lee cross,1
brano,brano,brand,1
pencilhee,pencilhee,penciled,3
pencilheel ladies,pencilheel ladies,pencilheel ladies,1
charle brand seller,charle brand seller,charge brand seller,1
b0rbh,b0rbh,birth,3
crop top,crop top,crop top,1
marc cooper,marc cooper,marc cooper,3
BKC bus route,bkc bus route,bic bus route,4
VKC box,vkc box,vic box,1
BKC brand box item,bkc brand box item,bic brand box item,1
welcome,welcome,welcome,3
worldmark,worldmark,worldmark,1
silux,silux,sioux,3
stepcare hawai,stepcare hawai,stemware hawaii,1
narain polymer,narain polymer,again polymer,1
mineshoe,mineshoe,wineshop,1
Lunars,lunars,lunar,1
flite,flite,flite,1
aqualite,aqualite,quality,3
aqualite,aqualite,quality,3
ronnans,ronnans,romans,3
welcome,welcome,welcome,3
sparx,sparx,spare,3
vroomfy 1669,vroomfy 1669,roomy 1669,4
VROOFMY 1669,vroofmy 1669,roomy 1669,4
à®šà¯à®šà®¿à®©à¯,,,3
lunars,lunars,lunar,1
cool wake,cool wake,cool wake,3
wowens rocks,wowens rocks,owens rocks,3
à®ªà¯ gajap, gajap,gap,3
men v sheb,men v sheb,men v she,3
pro ase,pro ase,pro are,3
kraasa,kraasa,kaaba,1
pcw,pcw,paw,1
tony walker,tony walker,tony walker,1
tony walker,tony walker,tony walker,1
hytech,hytech,hatch,4
3751,3751,3751,4
aridos,aridos,rides,3
sandals581,sandals581,sandals581,0
ns lower,ns lower,is lower,3
girls hawai,girls hawai,girls hawaii,1
dsc,dsc,doc,3
bride,bride,bride,1
compit,compit,commit,3
woodland,woodland,woodland,1
ircoa,ircoa,iron,3
kickonne,kickonne,kickonne,1
farx,farx,far,3
iu,iu,i,3
nushi,nushi,sushi,1
nushi 244,nushi 244,sushi 244,4
kickonn,kickonn,kicking,0
footiva,footiva,footing,0
t footiva,t footiva,t footing,0
dg foam,dg foam,dg foam,1
Madifit,madifit,madifit,3
flight Kolhapur ladies,flight kolhapur ladies,flight kolhapur ladies,1
crocks boys,crocks boys,crocks boys,0
flight Kolhapur ladies,flight kolhapur ladies,flight kolhapur ladies,1
asian black spot,asian black spot,asian black spot,1
leecross,leecross,recross,3
sandale1576,sandale1576,sandale1576,4
sandale1,sandale1,sandaled,1
Air shiew,air shiew,air shrew,1
New balance,new balance,new balance,1
skylite,skylite,skyline,1
lehar,lehar,lear,1
cool walk,cool walk,cool walk,0
cool walk,cool walk,cool walk,0
Gnr,gnr,ger,1
new takson kids,new takson kids,new taken kids,1
D DERLAK JENTS,d derlak jents,d delay cents,1
wolvesden.,wolvesden,wolvesden,1
kito 2 se 5,kito 2 se 5,kit 2 se 5,1
auction milion,auction milion,auction million,1
shoft hawai,shoft hawai,shot hawaii,1
corax man,corax man,coral man,1
hrx ahu,hrx ahu,hex ah,3
hrx shus,hrx shus,hex shut,3
ogay,ogay,okay,3
airson,airson,arson,3
Ortho doctor Plus,ortho doctor plus,orth doctor plus,1
authorised,authorised,authorized,4
doctor ortho Plus,doctor ortho plus,doctor orth plus,1
Ortho Plus,ortho plus,orth plus,1
Dr Ortho,dr ortho,dr orth,1
Dr Ortho Plus,dr ortho plus,dr orth plus,1
TFC,tfc,tic,3
camro,camro,cameo,1
airson,airson,arson,3
stout,stout,stout,3
camro,camro,cameo,1
camro,camro,cameo,1
camro,camro,cameo,1
stouut,stouut,stout,3
fludik,fludik,fluid,3
uttam foot,uttam foot,team foot,0
dika sportswear,dika sportswear,diva sportswear,0
ashoka,ashoka,asoka,1
stout,stout,stout,3
plane t shirt,plane t shirt,plane t shirt,2
campus 22G-,campus 22g,campus big,4
prada for men,prada for men,prada for men,1
prada  men,prada  men,prada men,1
columbus,columbus,columbus,3
abross,abross,across,3
abross,abross,across,3
Abross,abross,across,3
abross,abross,across,3
emox,emox,mom,3
spacer,spacer,spacer,1
Campus 22g1200,campus 22g1200,campus 22g1200,4
belizza,belizza,eliza,1
fasoon,fasoon,soon,3
farmals367,farmals367,farmals367,4
teadwing,teadwing,reading,3
casual bk,casual bk,casual bk,1
bina's company,binas company,binds company,1
power force,power force,power force,1
campus 11974,campus 11974,campus 11974,4
Campus 11974,campus 11974,campus 11974,4
power force,power force,power force,1
Oman casual,oman casual,oman casual,1
11974,11974,11974,4
campus11974,campus11974,campus11974,4
patila juti,patila juti,patina jut,1
jutti,jutti,tutti,1
aalhida,aalhida,aalhida,1
abross,abross,across,3
chinies,chinies,chilies,3
Abros,abros,bros,3
campus. 6l-166a ladies,campus 6l166a ladies,campus 6l166a ladies,4
gold star,gold star,gold star,1
gold star,gold star,gold star,1
asian,asian,asian,1
Sellsworld Microfiber Bath Towels | (70x140) Extra Soft Plush & Quick Dry High Absorbency with Large Size Towels for Bathing(Pack of 1) (Dark Blue),sellsworld microfiber bath towels  70x140 extra soft plush  quick dry high absorbency with large size towels for bathingpack of 1 dark blue,sellsworld microfiber bath towels 70x140 extra soft plush quick dry high absorbency with large size towels for bathingpack of 1 dark blue,1
women for pamshoe,women for pamshoe,women for gumshoe,1
bentex,bentex,better,3
hliux,hliux,helium,1
Asian Crocs,asian crocs,asian cross,1
Asian Crocs,asian crocs,asian cross,1
ashoka,ashoka,asoka,1
Agar O baro size casual,agar o baro size casual,agar o bar size casual,1
airson,airson,arson,3
bata du,bata du,data du,1
ashoka,ashoka,asoka,1
saga,saga,saga,1
sagastar,sagastar,megastar,1
sagastar,sagastar,megastar,1
sagastar,sagastar,megastar,1
airwash,airwash,airway,1
imported men,imported men,imported men,1
jacket,jacket,jacket,2
Arson,arson,arson,3
arow style,arow style,grow style,1
airwash su,airwash su,airway so,3
airwash su,airwash su,airway so,3
brand Infinity x,brand infinity x,brand infinity x,1
us polo,us polo,us polo,1
atom,atom,atom,3
standfild,standfild,standfild,1
à¦¸à¦¬à§à¦œ à¦•à¦¾à¦²à¦¾à¦° à¦¬à§à¦Ÿ,  ,,3
photo ka photo aur photo ka photo,photo ka photo aur photo ka photo,photo ka photo our photo ka photo,1
1121,1121,1121,4
lansar school shu,lansar school shu,laser school she,1
Namita enterprises,namita enterprises,naming enterprises,1
abros,abros,bros,3
AccuWeather how I,accuweather how i,accuweather how i,1
accupressure ladies how are you,accupressure ladies how are you,acupressure ladies how are you,1
aqua pressure,aqua pressure,aqua pressure,1
neoz,neoz,neon,1
shosh,shosh,shush,3
trump  women's,trump  womens,trump women,1
Delhi marketing Nagara model,delhi marketing nagara model,delhi marketing niagara model,1
Delhi marketing marriage kohlapuri model,delhi marketing marriage kohlapuri model,delhi marketing marriage kohlapuri model,1
